true\pred,anger,anticipation,disgust,fear,joy,love,optimism,pessimism,sadness,surprise,trust
anger,2322,228,49,75,48,17,2,0,92,46,327
anticipation,74,5803,24,58,77,32,6,0,62,53,332
disgust,34,54,504,28,20,2,0,0,17,7,93
fear,42,75,30,1188,18,3,0,0,20,16,149
joy,25,85,12,18,2981,39,1,1,20,17,136
love,51,41,6,6,66,879,22,6,27,27,83
optimism,13,17,1,4,5,22,75,2,9,4,31
pessimism,23,8,3,5,3,11,2,15,30,15,16
sadness,62,156,24,47,39,1,0,0,1858,19,180
surprise,22,41,4,12,5,1,0,0,12,972,58
trust,69,221,27,56,40,3,0,0,57,25,4662
